index,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10232,31601016,97429373,Chris,78748,30.18056,-97.81165,Private room,41,2,3,2/2/2019,0.83,2,20
10233,31609555,9796520,Preston,78702,30.25803,-97.73699,Entire home/apt,1999,3,11,5/5/2019,3.47,1,268
10234,31613267,52257035,Miriam,78747,30.14975,-97.7457,Entire home/apt,215,4,1,3/17/2019,0.51,1,85
10236,31614762,210698540,Thierry,78704,30.23478,-97.77171,Entire home/apt,400,2,2,4/14/2019,0.92,1,177
10237,31616818,62432951,Serena,78704,30.22501,-97.754,Entire home/apt,86,1,29,5/12/2019,10.61,1,309
10239,31617997,2390483,Patrick,78748,30.19096,-97.83422,Private room,50,2,2,4/15/2019,0.9,1,350
10240,31619593,21194570,Jane,78727,30.4244,-97.6973,Entire home/apt,149,15,4,4/14/2019,1.04,3,84
10242,31621920,155311562,T'ien,78754,30.3568,-97.66378,Private room,73,1,2,3/17/2019,0.59,3,86
10243,31625005,118771276,Nathan,78724,30.31334,-97.65215,Private room,46,1,20,4/25/2019,5.13,9,157
10244,31641404,108744728,Shelly,78758,30.4066,-97.70029,Entire home/apt,45,2,5,3/24/2019,1.39,1,0
10246,31646504,76478888,Leslie,78745,30.21706,-97.79581,Entire home/apt,69,2,7,4/14/2019,2.08,1,37
10247,31647236,57308515,Dormigo,78741,30.23617,-97.72504,Entire home/apt,32,1,7,5/6/2019,2.19,27,116
10248,31652209,237320252,Christian,78745,30.21251,-97.76761,Entire home/apt,70,1,22,5/12/2019,9.04,1,217
10249,31654929,237343350,Tim,78701,30.26639,-97.7399,Private room,90,1,9,3/10/2019,2.84,1,57
10250,31655169,8113244,Tiara,78702,30.27612,-97.72022,Entire home/apt,185,7,1,3/17/2019,0.51,2,0
10251,31661267,209495182,Bridget,78757,30.34986,-97.74817,Private room,33,1,10,4/18/2019,4.48,3,77
10252,31668167,160722200,Jas And Tyler,78741,30.23856,-97.73141,Entire home/apt,468,1,8,4/14/2019,2.09,2,175
10253,31668518,237444043,Terry,78703,30.29803,-97.78122,Entire home/apt,1000,3,4,4/28/2019,1.85,1,222
10254,31668724,40945039,Aviva,78727,30.43825,-97.73639,Entire home/apt,135,1,3,4/15/2019,1.96,1,0
10255,31671856,4784584,Trevor,78724,30.28258,-97.64735,Private room,44,2,17,4/27/2019,4.43,2,10
10257,31674164,65893687,Nathan,78704,30.25477,-97.74559,Entire home/apt,250,2,1,3/13/2019,0.48,1,0
10258,31674382,192726815,Ryan,78701,30.27247,-97.74867,Entire home/apt,509,3,2,4/15/2019,1.02,1,351
10259,31674730,91288712,Patricia,78734,30.35958,-97.95207,Entire home/apt,1495,2,2,5/12/2019,2,5,335
10260,31679102,6990924,Sarah,78702,30.2605,-97.72149,Private room,125,1,8,2/24/2019,2.09,4,11
10261,31686518,4995627,Lynn,78704,30.24608,-97.76413,Entire home/apt,93,29,3,2/23/2019,1,4,331
10262,31689367,237636566,Hunter,78749,30.20406,-97.8496,Entire home/apt,400,2,8,5/5/2019,2.16,1,332
10263,31693600,95343504,Rachel,78704,30.25538,-97.74621,Entire home/apt,105,3,9,4/15/2019,3.42,1,0
10264,31694597,237691055,Yang,78750,30.45667,-97.81319,Entire home/apt,69,1,5,3/12/2019,1.3,2,116
10265,31697555,162530035,Angela,78730,30.35873,-97.79935,Entire home/apt,79,90,1,2/17/2019,0.34,1,258
10266,31699889,109902917,Emma,78722,30.28444,-97.71541,Entire home/apt,249,1,1,3/17/2019,0.51,13,317
10267,31700063,109902917,Emma,78722,30.28387,-97.71726,Entire home/apt,129,1,5,5/3/2019,1.97,13,319
10268,31700342,109902917,Emma,78722,30.28382,-97.71684,Entire home/apt,59,1,3,5/2/2019,2.57,13,320
10269,31700654,109902917,Emma,78722,30.28382,-97.71755,Entire home/apt,179,2,2,5/12/2019,2,13,321
10270,31700733,109638288,TurnKey Vacation Rentals,78702,30.2732,-97.71764,Entire home/apt,265,2,1,3/11/2019,0.46,68,314
10271,31703365,136925094,Maricela,78745,30.22454,-97.80442,Entire home/apt,90,3,6,4/22/2019,2.37,1,155
10272,31707052,95732180,Willemijn And Kevin,78756,30.32356,-97.73331,Private room,49,1,23,5/8/2019,6.63,1,36
10274,31711384,14048808,Oliver,78702,30.27429,-97.73029,Entire home/apt,200,2,2,3/17/2019,0.94,1,61
10275,31712019,388671,Megan,78705,30.29352,-97.73128,Entire home/apt,120,2,4,3/27/2019,1.38,1,0
10277,31715640,2384093,Amy,78741,30.22435,-97.72584,Entire home/apt,169,2,4,5/5/2019,1.69,1,42
10278,31716264,75948178,Tommy,78702,30.25494,-97.71907,Entire home/apt,156,3,5,4/15/2019,2.27,1,42
10280,31718325,237924463,Guadalupe,78758,30.41341,-97.69735,Entire home/apt,84,30,1,3/23/2019,0.57,1,210
10281,31718355,188577611,Rebecca,78703,30.30496,-97.75699,Entire home/apt,164,2,1,3/23/2019,0.57,1,18
10282,31720681,148111557,Stephanos,78703,30.26952,-97.75153,Private room,449,2,1,3/13/2019,0.48,1,90
10283,31721844,18865377,Zachary,78701,30.25626,-97.7387,Entire home/apt,299,4,1,4/16/2019,1,3,347
10284,31722922,11800010,Evan,78748,30.15318,-97.83737,Private room,34,1,5,5/12/2019,5,2,83
10285,31732608,10345444,Amy,78745,30.20674,-97.83396,Entire home/apt,200,2,1,3/10/2019,0.45,2,162
10286,31732622,43228743,Heather,78702,30.2532,-97.71469,Entire home/apt,499,1,1,3/2/2019,0.41,1,32
10287,31738385,1396952,Hugo,78702,30.26813,-97.7206,Entire home/apt,100,2,11,5/5/2019,4.23,1,149
10288,31740528,104309976,WanderJaunt,78741,30.24056,-97.72438,Entire home/apt,10000,1,18,5/12/2019,4.86,55,167
10289,31742478,104309976,WanderJaunt,78741,30.24173,-97.7247,Entire home/apt,10000,1,26,5/12/2019,7.16,55,165
10290,31746889,104309976,WanderJaunt,78741,30.24075,-97.72255,Entire home/apt,10000,1,25,5/12/2019,6.76,55,161
10291,31754396,237564869,Wendy,78701,30.26512,-97.74312,Entire home/apt,495,1,5,3/25/2019,1.74,1,155
10292,31756498,11663301,Ayesha,78705,30.29854,-97.73385,Entire home/apt,200,1,2,3/17/2019,0.91,2,33
10293,31760270,238137101,Jackie & Toby,78741,30.23549,-97.7367,Entire home/apt,596,3,3,5/5/2019,3,1,170
10294,31763747,50409804,Rob,78703,30.30732,-97.75656,Entire home/apt,95,2,16,5/5/2019,5.16,1,58
10295,31765314,10179471,Frances,78704,30.24168,-97.78291,Private room,50,2,10,4/30/2019,4.55,1,173
10296,31794283,180234550,Prince,78758,30.3955,-97.7267,Entire home/apt,125,1,1,4/14/2019,1,1,72
10297,31796294,420725,Medora,78705,30.28334,-97.74483,Entire home/apt,85,1,19,5/5/2019,5.09,2,281
10298,31799740,22301412,Daniel,78735,30.24709,-97.82837,Entire home/apt,120,2,2,3/17/2019,0.92,3,0
10300,31799929,118565935,Renters Club,78704,30.25644,-97.76829,Entire home/apt,3270,1,1,2/12/2019,0.33,78,365
10302,31801664,72939676,Lisa,78703,30.28861,-97.76146,Entire home/apt,125,1,27,5/7/2019,12.09,1,137
10303,31801854,184083014,Donald And Vonda,78717,30.49295,-97.79043,Private room,35,2,13,4/30/2019,3.9,2,67
10304,31803275,163490577,Micah,78703,30.27161,-97.75624,Entire home/apt,228,1,5,4/15/2019,1.6,1,23
10305,31804158,155311562,T'ien,78754,30.35827,-97.66567,Entire home/apt,120,2,10,5/12/2019,3.75,3,86
10306,31804884,86284377,Teresa,78704,30.23433,-97.76526,Entire home/apt,115,30,1,1/30/2019,0.29,3,0
10307,31812450,121500207,Ashley,78705,30.28956,-97.74525,Entire home/apt,299,1,4,5/6/2019,3.16,16,271
10308,31813057,121500207,Ashley,78705,30.2913,-97.74668,Entire home/apt,499,2,2,4/14/2019,0.97,16,310
10309,31821284,24285050,Kirsty,78703,30.27804,-97.76048,Entire home/apt,168,1,11,3/31/2019,3.24,1,0
10310,31825683,127048147,Chris & Shawn,78745,30.20518,-97.79097,Entire home/apt,169,2,8,5/5/2019,3.69,2,11
10315,31830629,24516340,David,78702,30.26191,-97.73004,Entire home/apt,214,3,7,4/28/2019,2.23,19,86
10316,31831290,52190619,Adam,78758,30.41031,-97.7005,Entire home/apt,100,2,6,4/13/2019,2.5,3,266
10317,31834570,2555376,Philip,78701,30.25549,-97.73851,Private room,150,1,7,4/30/2019,3.44,1,363
10318,31835512,41287584,Margie,78705,30.29154,-97.73372,Entire home/apt,135,1,12,5/5/2019,3.83,6,59
10319,31836833,238556563,Mayer,78741,30.23136,-97.73733,Entire home/apt,81,1,15,5/12/2019,5.17,1,70
10320,31838055,128898553,Susan,78757,30.35657,-97.73011,Entire home/apt,130,2,4,3/16/2019,1.82,1,132
10321,31838560,25768395,Monica,78717,30.48131,-97.79024,Entire home/apt,89,1,14,4/28/2019,5,1,296
10322,31839683,30018339,Christina,78704,30.24366,-97.73938,Entire home/apt,400,3,1,3/11/2019,0.46,1,0
10323,31840660,217175670,Derrick,78741,30.22324,-97.69747,Entire home/apt,200,2,3,4/15/2019,1.23,1,174
10324,31843707,121500207,Ashley,78705,30.29132,-97.74497,Entire home/apt,129,2,6,4/30/2019,1.73,16,296
10325,31854290,134083514,Adam,78735,30.29126,-97.87035,Entire home/apt,149,1,9,4/29/2019,2.87,2,8
10326,31857633,72671153,Mallory,78704,30.24413,-97.75306,Entire home/apt,275,2,1,3/11/2019,0.46,1,50
10327,31857957,217106838,Ashlie,78723,30.31124,-97.67846,Entire home/apt,100,2,17,5/9/2019,6.71,1,112
10328,31861702,62989883,Carolina,78744,30.20124,-97.69486,Private room,27,60,2,4/24/2019,2,1,319
10333,31863614,13777116,Laura,78702,30.25533,-97.73431,Entire home/apt,750,1,1,2/18/2019,0.35,10,162
10334,31863617,13777116,Laura,78702,30.25656,-97.7343,Entire home/apt,750,1,1,4/4/2019,0.73,10,166
10337,31875527,238908613,David,78703,30.29732,-97.75948,Entire home/apt,145,1,7,5/5/2019,3.18,1,169
10338,31876274,238160534,Holly,78704,30.25783,-97.78053,Entire home/apt,650,2,2,4/28/2019,0.97,1,168
10339,31876373,4715382,Drew,78702,30.25382,-97.71113,Entire home/apt,750,2,4,5/6/2019,1.35,1,16
10340,31876483,4689326,Heather,78704,30.25549,-97.74556,Entire home/apt,150,1,15,4/28/2019,4.79,2,326
10341,31879919,132363022,Colin,78702,30.27666,-97.7066,Entire home/apt,750,3,3,5/5/2019,1.53,1,226
10342,31880836,238952786,Meshelle,78744,30.18421,-97.7599,Entire home/apt,170,1,9,4/29/2019,3.1,1,148
10343,31880979,76356,Kara,78704,30.2314,-97.75096,Entire home/apt,364,2,5,4/28/2019,2.08,3,335
10344,31882094,6984830,Stuart,78729,30.47138,-97.77803,Private room,21,2,2,5/6/2019,0.75,9,345
10345,31884897,135667823,Lyndi,78704,30.23669,-97.75026,Entire home/apt,300,2,13,5/11/2019,3.61,1,95
10346,31885101,238994424,Jenna,78704,30.22519,-97.75716,Entire home/apt,100,1,25,5/11/2019,6.94,1,25
10347,31885404,97145305,Karley,78741,30.23825,-97.73736,Entire home/apt,425,3,1,3/13/2019,0.48,1,0
10348,31886844,2471277,Allison,78723,30.31777,-97.70483,Entire home/apt,71,1,12,4/24/2019,4.19,1,0
10349,31895436,78742309,Susan,78745,30.221,-97.78896,Private room,65,2,9,5/9/2019,2.87,1,172
10350,31896513,179406932,Matt,78703,30.2831,-97.76135,Entire home/apt,199,3,12,5/7/2019,3.6,1,30
10351,31896639,127530104,Palma,78747,30.1361,-97.76999,Private room,50,1,4,4/20/2019,2,3,86
10353,31903170,236065399,Victor & Toñita,78748,30.15677,-97.80364,Private room,90,1,5,5/7/2019,2.38,1,344
10354,31903670,239164630,Howard,78704,30.23614,-97.7709,Entire home/apt,199,3,9,5/12/2019,3.65,1,98
10355,31906040,85741379,Anne,78702,30.26869,-97.72117,Entire home/apt,375,2,2,3/12/2019,0.87,1,0
10356,31906748,6752384,George,78704,30.24953,-97.77864,Entire home/apt,89,1,25,5/12/2019,7.89,2,54
10357,31908107,36154036,Deanna,78739,30.18728,-97.92008,Entire home/apt,388,2,2,4/28/2019,0.98,2,348
10359,31920517,33842657,Mariana,78724,30.31564,-97.65508,Entire home/apt,345,2,5,5/5/2019,1.72,1,362
10361,31921423,118771276,Nathan,78724,30.31431,-97.65279,Entire home/apt,500,1,7,4/29/2019,2.41,9,180
10362,31922287,44991319,David & Dee,78728,30.42757,-97.67288,Private room,55,1,4,4/7/2019,1.82,2,179
10364,31923944,97318719,Jake,78704,30.23651,-97.79064,Entire home/apt,90,1,3,4/29/2019,1.5,1,9
10367,31928824,1794693,Jon & Hannah,78702,30.28026,-97.70561,Entire home/apt,100,2,6,5/12/2019,2.73,1,62
10368,31929135,187329804,Jeremy,78723,30.2982,-97.70019,Entire home/apt,300,2,2,4/28/2019,0.97,1,84
10369,31929376,54494773,Collin,78741,30.24081,-97.72402,Entire home/apt,348,3,2,3/16/2019,0.92,1,0
10371,31932888,171208055,Antonio,78751,30.30352,-97.73628,Entire home/apt,115,2,21,5/2/2019,7.16,4,153
10372,31942384,807278,Nereyda,78721,30.27086,-97.691,Entire home/apt,375,2,1,3/3/2019,0.41,1,133
10373,31949649,24384418,Melinda,78704,30.25076,-97.74286,Entire home/apt,165,2,3,3/29/2019,1.41,2,222
10374,31949702,8835522,Dana,78702,30.26955,-97.73062,Entire home/apt,257,2,8,4/15/2019,2.76,1,306
10375,31950765,94210413,Shey,78745,30.18691,-97.7878,Private room,89,1,3,5/5/2019,1.34,1,77
10376,31952235,239521235,Aaron,78704,30.23412,-97.75989,Entire home/apt,200,2,1,2/17/2019,0.34,1,0
10377,31953411,118565935,Renters Club,78701,30.27906,-97.74603,Entire home/apt,1308,1,2,5/6/2019,1.33,78,323
