id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32920189,"4310 Avenue B, Austin, Hyde Park (Chadrik's)",34231633,Chadrik,,78751,30.30901,-97.73276,Entire home/apt,200,3,0,,,1,364
32920636,THIS OR A HOTEL? BEST VIEW IN AUSTIN--6th St,22301966,Marie,,78701,30.27019,-97.74799,Private room,400,1,2,2019-05-05,2,2,132
32920659,East side queen bed near 183,4784584,Trevor,,78724,30.282,-97.64578,Private room,33,3,6,2019-04-20,2.81,2,7
32920985,"Sweet , Bed and Go Cheap Place.",100754613,Emin,,78741,30.2315,-97.71886,Private room,55,1,0,,,1,179
32920994,Comfortable Glamping near Amazing Restaurants,3440175,James,,78702,30.25415,-97.70359,Entire home/apt,130,1,2,2019-03-13,0.91,6,7
32921018,Tarrytown Retreat,247690163,Therese,,78703,30.3005,-97.7601,Entire home/apt,500,1,4,2019-05-05,3.16,1,174
32921056,Quirky Redux,6221656,Matt,,78704,30.25409,-97.77877,Entire home/apt,5000,30,0,,,2,133
32922921,15 minutes to downtown! Nice neighborhood,247709393,Carlos,,78749,30.20882,-97.85201,Entire home/apt,100,3,1,2019-04-21,1,2,180
32923762,Downtown 1X1 Apartment,141725735,Bobby,,78705,30.29216,-97.72318,Entire home/apt,100,1,10,2019-05-05,4.69,1,350
32923995,Vintage Trailer @ Urban Farm/ Tiny Home Community,184685842,Christi Lou,,78721,30.25921,-97.6835,Entire home/apt,165,2,3,2019-04-14,1.70,7,90
32924457,Converted breakfast nook; quiet N. central area,16491238,Stephanie,,78759,30.37419,-97.75878,Private room,53,75,0,,,1,275
32927733,Charming Duplex w/ Fenced Yard & Patio,109638288,TurnKey Vacation Rentals,,78746,30.27704,-97.80703,Entire home/apt,129,2,1,2019-05-12,1,68,331
32927762,15 minutes from downtown! Friendly neighbors,247709393,Carlos,,78749,30.20962,-97.85319,Private room,125,3,0,,,2,180
32932973,One Bedroom in Spacious New Townhome,22141003,Z,,78729,30.45342,-97.77475,Private room,40,1,1,2019-03-17,0.51,2,12
32933436,Luxury Private BR in 2 BR/2 Bth perfect for SXSW,81421119,Tyler,,78741,30.23202,-97.71719,Private room,59,1,0,,,1,133
32933888,Amazing Airstream Experience at Lake Travis,61905606,SharingXchange,,78734,30.42027,-97.94666,Entire home/apt,158,1,0,,,8,353
32936617,Perfect place to relax and feel like in home.,160767804,Samuel,,78753,30.39429,-97.67781,Private room,60,1,2,2019-04-14,1.62,1,88
32936749,King size bed,147248001,Sandra,,78753,30.41463,-97.67879,Private room,120,5,0,,,2,162
32938544,"The Nook, Private Room",2274752,Maya,,78723,30.28849,-97.66822,Private room,65,1,2,2019-03-15,0.92,2,66
32938974,★Entire Apt✔South ATX✔Free Parking✔1 BR★78704,1783648,Robert,,78704,30.23945,-97.78312,Entire home/apt,105,2,12,2019-05-11,5.63,1,81
32939864,Rustic NE Austin Home 2 BR + 1 Bath,1601233,Marlena,,78753,30.36326,-97.68094,Entire home/apt,250,1,5,2019-05-05,2.54,1,34
32940160,Minutes from Downtown/Lady Bird Lake,226750291,Aaron,,78741,30.23921,-97.72229,Private room,65,1,3,2019-03-24,1.41,3,352
32941776,Perfect home with pool and spa on the greenbelt,118923788,Ryan,,78745,30.20248,-97.82367,Entire home/apt,249,3,9,2019-05-08,4.66,1,130
32941812,"Luxury Downtown Austin, Entertaining And Relaxing",69368460,Jacqueline,,78701,30.27036,-97.74768,Entire home/apt,285,2,4,2019-04-14,2.35,1,362
32941928,"Downtown SXSW, Lady Bird Lake access",58510237,Eloy,,78741,30.2454,-97.72972,Entire home/apt,849,1,0,,,1,66
32942409,Affordable Bedroom in Central Austin,44331679,Mariana,,78751,30.31499,-97.71781,Private room,50,1,11,2019-05-04,5.24,1,1
32955301,The Forest House,156463743,Erika,,78753,30.38507,-97.6641,Private room,65,1,0,,,1,110
32955417,Pick me! Pick me!,8347831,Vincent,,78751,30.31927,-97.71095,Entire home/apt,300,1,3,2019-04-07,1.53,1,364
32956174,Room for rent,248009397,Roderick,,78744,30.19795,-97.74738,Private room,250,5,0,,,1,89
32956305,"1BR in the heart of Mueller, 10min to downtown",11362671,Courtney,,78723,30.29812,-97.70506,Entire home/apt,150,1,7,2019-04-27,3.28,1,20
32956837,Central Austin Cherrywood Casa,4118137,Unji,,78722,30.28843,-97.7193,Private room,350,2,0,,,1,89
32958214,Peaceful space on Eastside,29308776,Tim,,78702,30.26985,-97.69833,Private room,150,2,0,,,2,18
32960220,"Amazing, custom woodworking apt!",148769336,Paul,,78704,30.23119,-97.76642,Entire home/apt,150,2,2,2019-05-05,2,2,101
32961316,"Modern/hip apt in dtown ATX! (pool, gym, 760sqft)",19526051,Arthur,,78741,30.2417,-97.72149,Entire home/apt,90,2,4,2019-05-05,4,1,37
32962941,South Lamar House Close to Downtown,37996456,Eric,,78704,30.24612,-97.77574,Entire home/apt,175,2,3,2019-04-21,2.37,1,34
32963125,Montopolis Room,94660148,Landy,,78741,30.22975,-97.6951,Private room,40,1,14,2019-05-10,6.56,1,39
32963462,"Modern, Eclectic Private BR/BA NW hills, 10 min DT",218467407,Bailey,,78731,30.34264,-97.76497,Private room,100,1,4,2019-04-14,1.97,1,0
32964590,minutes from downtown 1 bedroom w/queen  + couch,248093982,Angela,,78753,30.34531,-97.69929,Private room,250,1,0,,,1,365
